section,kategoriId,code,name,hex,rgb,sourceFile
İç Cephe,,Cİ-6920,Fujiyama,#f6f2f4,"246, 242, 244",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6930,Güvercin,#f3edef,"243, 237, 239",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6940,Marjinal Beyaz,#ebe7ec,"235, 231, 236",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6790,Yeni Rüya,#ececf0,"236, 236, 240",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6720,Yeni Kar,#e4e6e5,"228, 230, 229",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6740,Yeni Yeşil Pamuk,#e8f0ed,"232, 240, 237",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6960,Klimanjaro,#e5eae9,"229, 234, 233",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6750,Yeni Şakayık,#e5f0f1,"229, 240, 241",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6950,Porselen,#e4ebec,"228, 235, 236",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6263,4030 Karizmatik Bej,#e2d3c5,"226, 211, 197",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6264,4031 Kahve Köpüğü,#e2cbb6,"226, 203, 182",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6265,4032 Elegan Mocha,#cbae94,"203, 174, 148",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6283,4038 Ultra Bej,#e6cdb1,"230, 205, 177",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6341,1580 Masum Beyaz,#faf0e4,"250, 240, 228",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6364,4075 Gri Toprak,#b9aea1,"185, 174, 161",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
